"ph";"Hardness";"Solids";"Chloramines";"Sulfate";"Conductivity";"Organic_carbon";"Trihalomethanes";"Turbidity";"Potability"
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";1
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";1
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range1 [-? - 305.015]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range1 [-? - 185.278]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range1 [-? - 4.095]";0
"range2 [7.000 - ?]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range1 [-? - 6.740]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range1 [-? - 62.369]";"range2 [4.095 - ?]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range2 [30774.069 - ?]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range1 [-? - 467.413]";"range2 [15.250 - ?]";"range1 [-? - 62.369]";"range1 [-? - 4.095]";0
"range1 [-? - 7.000]";"range2 [185.278 - ?]";"range1 [-? - 30774.069]";"range2 [6.740 - ?]";"range2 [305.015 - ?]";"range2 [467.413 - ?]";"range1 [-? - 15.250]";"range2 [62.369 - ?]";"range2 [4.095 - ?]";0
